aggregation_level,event_family,sector,window_months,check_name,status,detail
sector,nbim_positive_industry_weight_change,Energy,3,bootstrap_ci_ordered,pass,"excess=(-0.073428731005,0.243805883247) excess_u=(-0.092331949605,0.224902664647) proxy_u=(-0.066006284279,0.161844933265)"
sector,nbim_positive_industry_weight_change,Energy,3,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Energy,6,bootstrap_ci_ordered,pass,"excess=(0.048487942600,0.200259000207) excess_u=(0.017827447421,0.169598505028) proxy_u=(0.005760201052,0.034912107711)"
sector,nbim_positive_industry_weight_change,Energy,6,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Financials,1,bootstrap_ci_ordered,pass,"excess=(-0.099539149034,-0.010011874304) excess_u=(-0.099103943130,-0.009576668400) proxy_u=(-0.088592338296,0.007279820271)"
sector,nbim_positive_industry_weight_change,Financials,1,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Financials,3,bootstrap_ci_ordered,pass,"excess=(-0.103976430322,-0.037960071644) excess_u=(-0.103296765859,-0.037280407181) proxy_u=(-0.076971100533,-0.022116484742)"
sector,nbim_positive_industry_weight_change,Financials,3,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Financials,6,bootstrap_ci_ordered,pass,"excess=(-0.121463642213,-0.087087608562) excess_u=(-0.122872534703,-0.088496501052) proxy_u=(-0.076185334887,-0.071411840763)"
sector,nbim_positive_industry_weight_change,Financials,6,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Health Care,1,bootstrap_ci_ordered,pass,"excess=(-0.012378314167,0.039034384310) excess_u=(-0.010027922709,0.041384775768) proxy_u=(-0.015375601129,0.051896380603)"
sector,nbim_positive_industry_weight_change,Health Care,1,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Health Care,3,bootstrap_ci_ordered,pass,"excess=(-0.027531420486,-0.023541010309) excess_u=(-0.022525184469,-0.018534774292) proxy_u=(-0.058452478047,0.007790891033)"
sector,nbim_positive_industry_weight_change,Health Care,3,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Health Care,6,bootstrap_ci_ordered,pass,"excess=(-0.023896502233,-0.023052072967) excess_u=(-0.013531979347,-0.012687550081) proxy_u=(-0.062265606647,0.003552680943)"
sector,nbim_positive_industry_weight_change,Health Care,6,event_count_positive,pass,event_count=2
sector,nbim_positive_industry_weight_change,Real Estate,1,bootstrap_ci_ordered,pass,"excess=(-0.003604410299,-0.003604410299) excess_u=(-0.001375457836,-0.001375457836) proxy_u=(0.050332246079,0.050332246079)"
sector,nbim_positive_industry_weight_change,Real Estate,1,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Real Estate,3,bootstrap_ci_ordered,pass,"excess=(-0.025301963963,-0.025301963963) excess_u=(-0.017799904840,-0.017799904840) proxy_u=(-0.080857636223,-0.080857636223)"
sector,nbim_positive_industry_weight_change,Real Estate,3,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Real Estate,6,bootstrap_ci_ordered,pass,"excess=(0.009456726656,0.009456726656) excess_u=(0.028266548823,0.028266548823) proxy_u=(-0.135571755153,-0.135571755153)"
sector,nbim_positive_industry_weight_change,Real Estate,6,event_count_positive,pass,event_count=1
sector,nbim_positive_industry_weight_change,Technology,1,bootstrap_ci_ordered,pass,"excess=(-0.018615192013,0.029751294572) excess_u=(-0.028862729680,0.019436380735) proxy_u=(-0.066797992659,0.011259762762)"
sector,nbim_positive_industry_weight_change,Technology,1,event_count_positive,pass,event_count=8
sector,nbim_positive_industry_weight_change,Technology,3,bootstrap_ci_ordered,pass,"excess=(-0.013251213094,0.053549232880) excess_u=(-0.042512879237,0.026265006465) proxy_u=(-0.063064446155,-0.005659633263)"
sector,nbim_positive_industry_weight_change,Technology,3,event_count_positive,pass,event_count=7
sector,nbim_positive_industry_weight_change,Technology,6,bootstrap_ci_ordered,pass,"excess=(0.011602452950,0.134534587866) excess_u=(-0.045786677987,0.076126098504) proxy_u=(-0.089921509682,0.100422501312)"
sector,nbim_positive_industry_weight_change,Technology,6,event_count_positive,pass,event_count=7
