event_family,event_label,event_date,analysis_start_date,target_end_date,actual_end_date,window_months,window_label,actual_horizon_days,sector,proxy_symbol,benchmark_symbol,signal_strength,signal_context,source,proxy_start_close,proxy_end_close,proxy_forward_return,benchmark_start_close,benchmark_end_close,benchmark_forward_return,excess_forward_return
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2025-09-15,2025-09-15,1,1m,31,Consumer Discretionary,XLY,VT,0.66761017,consensus:yes->no,swf_signal_states,113.66501000,119.45149000,0.050908190656,131.56354000,135.49919000,0.029914442862,0.020993747794
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2025-11-15,2025-11-17,3,3m,94,Consumer Discretionary,XLY,VT,0.66761017,consensus:yes->no,swf_signal_states,113.66501000,113.90590000,0.002119297750,131.56354000,136.30589000,0.036046080852,-0.033926783101
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2026-02-15,2026-02-17,6,6m,186,Consumer Discretionary,XLY,VT,0.66761017,consensus:yes->no,swf_signal_states,113.66501000,115.80783000,0.018852063621,131.56354000,145.94800000,0.109334698656,-0.090482635035
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2025-09-15,2025-09-15,1,1m,31,Technology,XLK,VT,0.19752099,consensus:yes->no,swf_signal_states,132.14537000,135.93516000,0.028678946527,131.56354000,135.49919000,0.029914442862,-0.001235496335
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2025-11-15,2025-11-17,3,3m,94,Technology,XLK,VT,0.19752099,consensus:yes->no,swf_signal_states,132.14537000,141.42992000,0.070260123378,131.56354000,136.30589000,0.036046080852,0.034214042526
cross_fund_consensus_lost,Cross-Fund Consensus Lost,2025-08-15,2025-08-15,2026-02-15,2026-02-17,6,6m,186,Technology,XLK,VT,0.19752099,consensus:yes->no,swf_signal_states,132.14537000,139.30701000,0.054195164008,131.56354000,145.94800000,0.109334698656,-0.055139534648
pif_contracting,PIF Contracting,2025-08-15,2025-08-15,2025-09-15,2025-09-15,1,1m,31,,SPY,CASH,1.90000000,state_change:stable->contracting,swf_signal_states,638.04328800,655.36673000,0.027150888233,1.00000000,1.00000000,0.000000000000,0.027150888233
pif_contracting,PIF Contracting,2025-08-15,2025-08-15,2025-11-15,2025-11-17,3,3m,94,,SPY,CASH,1.90000000,state_change:stable->contracting,swf_signal_states,638.04328800,661.91181000,0.037408938310,1.00000000,1.00000000,0.000000000000,0.037408938310
pif_contracting,PIF Contracting,2025-08-15,2025-08-15,2026-02-15,2026-02-17,6,6m,186,,SPY,CASH,1.90000000,state_change:stable->contracting,swf_signal_states,638.04328800,680.99525000,0.067318256939,1.00000000,1.00000000,0.000000000000,0.067318256939
nbim_overweight_tech,NBIM Overweight Tech,2026-03-02,2026-03-02,2026-04-02,2026-04-02,1,1m,31,Technology,XLK,VT,0.01335600,sector_weight_change,swf_combined_signal_panel,139.36693000,135.99001000,-0.024230425396,146.60646000,139.37000000,-0.049359762182,0.025129336787
nbim_positive_industry_weight_change,NBIM Positive Industry Weight Change,2026-03-02,2026-03-02,2026-04-02,2026-04-02,1,1m,31,Technology,XLK,VT,0.01335600,sector_weight_change,swf_combined_signal_panel,139.36693000,135.99001000,-0.024230425396,146.60646000,139.37000000,-0.049359762182,0.025129336787
