event_family,event_date,sector,window_months,check_name,status,detail
nbim_positive_industry_weight_change,2022-03-04,Energy,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_positive_industry_weight_change,2022-03-04,Energy,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_positive_industry_weight_change,2022-03-04,Real Estate,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
nbim_positive_industry_weight_change,2022-03-04,Real Estate,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_positive_industry_weight_change,2022-03-04,Real Estate,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
nbim_positive_industry_weight_change,2022-03-04,Technology,1,date_order_valid,pass,2022-03-04 -> 2022-04-04
nbim_positive_industry_weight_change,2022-03-04,Technology,3,date_order_valid,pass,2022-03-04 -> 2022-06-06
nbim_positive_industry_weight_change,2022-03-04,Technology,6,date_order_valid,pass,2022-03-04 -> 2022-09-06
cross_fund_consensus_lost,2022-10-12,Communication Services,1,date_order_valid,pass,2022-10-12 -> 2022-11-14
cross_fund_consensus_lost,2022-10-12,Communication Services,3,date_order_valid,pass,2022-10-12 -> 2023-01-12
cross_fund_consensus_lost,2022-10-12,Communication Services,6,date_order_valid,pass,2022-10-12 -> 2023-04-12
cross_fund_consensus_gained,2022-11-15,Communication Services,1,date_order_valid,pass,2022-11-15 -> 2022-12-15
cross_fund_consensus_gained,2022-11-15,Communication Services,3,date_order_valid,pass,2022-11-15 -> 2023-02-15
cross_fund_consensus_gained,2022-11-15,Communication Services,6,date_order_valid,pass,2022-11-15 -> 2023-05-15
cross_fund_consensus_gained,2022-12-23,Consumer Discretionary,1,date_order_valid,pass,2022-12-23 -> 2023-01-23
cross_fund_consensus_gained,2022-12-23,Consumer Discretionary,3,date_order_valid,pass,2022-12-23 -> 2023-03-23
cross_fund_consensus_gained,2022-12-23,Consumer Discretionary,6,date_order_valid,pass,2022-12-23 -> 2023-06-23
cross_fund_consensus_gained,2022-12-23,Financials,1,date_order_valid,pass,2022-12-23 -> 2023-01-23
cross_fund_consensus_gained,2022-12-23,Financials,3,date_order_valid,pass,2022-12-23 -> 2023-03-23
cross_fund_consensus_gained,2022-12-23,Financials,6,date_order_valid,pass,2022-12-23 -> 2023-06-23
cross_fund_consensus_gained,2022-12-23,Real Estate,1,date_order_valid,pass,2022-12-23 -> 2023-01-23
cross_fund_consensus_gained,2022-12-23,Real Estate,3,date_order_valid,pass,2022-12-23 -> 2023-03-23
cross_fund_consensus_gained,2022-12-23,Real Estate,6,date_order_valid,pass,2022-12-23 -> 2023-06-23
cross_fund_consensus_gained,2022-12-23,Technology,1,date_order_valid,pass,2022-12-23 -> 2023-01-23
cross_fund_consensus_gained,2022-12-23,Technology,3,date_order_valid,pass,2022-12-23 -> 2023-03-23
cross_fund_consensus_gained,2022-12-23,Technology,6,date_order_valid,pass,2022-12-23 -> 2023-06-23
pif_expanding,2022-12-23,,1,date_order_valid,pass,2022-12-23 -> 2023-01-23
pif_expanding,2022-12-23,,3,date_order_valid,pass,2022-12-23 -> 2023-03-23
pif_expanding,2022-12-23,,6,date_order_valid,pass,2022-12-23 -> 2023-06-23
cross_fund_consensus_lost,2023-02-15,Consumer Discretionary,1,date_order_valid,pass,2023-02-15 -> 2023-03-15
cross_fund_consensus_lost,2023-02-15,Consumer Discretionary,3,date_order_valid,pass,2023-02-15 -> 2023-05-15
cross_fund_consensus_lost,2023-02-15,Consumer Discretionary,6,date_order_valid,pass,2023-02-15 -> 2023-08-15
cross_fund_consensus_lost,2023-02-15,Financials,1,date_order_valid,pass,2023-02-15 -> 2023-03-15
cross_fund_consensus_lost,2023-02-15,Financials,3,date_order_valid,pass,2023-02-15 -> 2023-05-15
cross_fund_consensus_lost,2023-02-15,Financials,6,date_order_valid,pass,2023-02-15 -> 2023-08-15
cross_fund_consensus_lost,2023-02-15,Real Estate,1,date_order_valid,pass,2023-02-15 -> 2023-03-15
cross_fund_consensus_lost,2023-02-15,Real Estate,3,date_order_valid,pass,2023-02-15 -> 2023-05-15
cross_fund_consensus_lost,2023-02-15,Real Estate,6,date_order_valid,pass,2023-02-15 -> 2023-08-15
cross_fund_consensus_lost,2023-02-15,Technology,1,date_order_valid,pass,2023-02-15 -> 2023-03-15
cross_fund_consensus_lost,2023-02-15,Technology,3,date_order_valid,pass,2023-02-15 -> 2023-05-15
cross_fund_consensus_lost,2023-02-15,Technology,6,date_order_valid,pass,2023-02-15 -> 2023-08-15
cross_fund_consensus_lost,2023-03-08,Communication Services,1,date_order_valid,pass,2023-03-08 -> 2023-04-10
cross_fund_consensus_lost,2023-03-08,Communication Services,3,date_order_valid,pass,2023-03-08 -> 2023-06-08
cross_fund_consensus_lost,2023-03-08,Communication Services,6,date_order_valid,pass,2023-03-08 -> 2023-09-08
nbim_positive_industry_weight_change,2023-03-08,Consumer Staples,1,date_order_valid,pass,2023-03-08 -> 2023-04-10
nbim_positive_industry_weight_change,2023-03-08,Consumer Staples,3,date_order_valid,pass,2023-03-08 -> 2023-06-08
nbim_positive_industry_weight_change,2023-03-08,Consumer Staples,6,date_order_valid,pass,2023-03-08 -> 2023-09-08
nbim_positive_industry_weight_change,2023-03-08,Energy,1,date_order_valid,pass,2023-03-08 -> 2023-04-10
nbim_positive_industry_weight_change,2023-03-08,Energy,3,date_order_valid,pass,2023-03-08 -> 2023-06-08
nbim_positive_industry_weight_change,2023-03-08,Energy,6,date_order_valid,pass,2023-03-08 -> 2023-09-08
nbim_positive_industry_weight_change,2023-03-08,Financials,1,date_order_valid,pass,2023-03-08 -> 2023-04-10
nbim_positive_industry_weight_change,2023-03-08,Financials,3,date_order_valid,pass,2023-03-08 -> 2023-06-08
nbim_positive_industry_weight_change,2023-03-08,Financials,6,date_order_valid,pass,2023-03-08 -> 2023-09-08
nbim_positive_industry_weight_change,2023-03-08,Health Care,1,date_order_valid,pass,2023-03-08 -> 2023-04-10
nbim_positive_industry_weight_change,2023-03-08,Health Care,3,date_order_valid,pass,2023-03-08 -> 2023-06-08
nbim_positive_industry_weight_change,2023-03-08,Health Care,6,date_order_valid,pass,2023-03-08 -> 2023-09-08
cross_fund_consensus_gained,2023-08-15,Consumer Discretionary,1,date_order_valid,pass,2023-08-15 -> 2023-09-15
cross_fund_consensus_gained,2023-08-15,Consumer Discretionary,3,date_order_valid,pass,2023-08-15 -> 2023-11-15
cross_fund_consensus_gained,2023-08-15,Consumer Discretionary,6,date_order_valid,pass,2023-08-15 -> 2024-02-15
cross_fund_consensus_gained,2023-11-15,Health Care,1,date_order_valid,pass,2023-11-15 -> 2023-12-15
cross_fund_consensus_gained,2023-11-15,Health Care,3,date_order_valid,pass,2023-11-15 -> 2024-02-15
cross_fund_consensus_gained,2023-11-15,Health Care,6,date_order_valid,pass,2023-11-15 -> 2024-05-15
cross_fund_consensus_gained,2024-02-15,Technology,1,date_order_valid,pass,2024-02-15 -> 2024-03-15
cross_fund_consensus_gained,2024-02-15,Technology,3,date_order_valid,pass,2024-02-15 -> 2024-05-15
cross_fund_consensus_gained,2024-02-15,Technology,6,date_order_valid,pass,2024-02-15 -> 2024-08-15
cross_fund_consensus_lost,2024-02-15,Health Care,1,date_order_valid,pass,2024-02-15 -> 2024-03-15
cross_fund_consensus_lost,2024-02-15,Health Care,3,date_order_valid,pass,2024-02-15 -> 2024-05-15
cross_fund_consensus_lost,2024-02-15,Health Care,6,date_order_valid,pass,2024-02-15 -> 2024-08-15
nbim_overweight_tech,2024-02-28,Technology,1,date_order_valid,pass,2024-02-28 -> 2024-03-28
nbim_overweight_tech,2024-02-28,Technology,3,date_order_valid,pass,2024-02-28 -> 2024-05-28
nbim_overweight_tech,2024-02-28,Technology,6,date_order_valid,pass,2024-02-28 -> 2024-08-28
nbim_positive_industry_weight_change,2024-02-28,Consumer Discretionary,1,date_order_valid,pass,2024-02-28 -> 2024-03-28
nbim_positive_industry_weight_change,2024-02-28,Consumer Discretionary,3,date_order_valid,pass,2024-02-28 -> 2024-05-28
nbim_positive_industry_weight_change,2024-02-28,Consumer Discretionary,6,date_order_valid,pass,2024-02-28 -> 2024-08-28
nbim_positive_industry_weight_change,2024-02-28,Technology,1,date_order_valid,pass,2024-02-28 -> 2024-03-28
nbim_positive_industry_weight_change,2024-02-28,Technology,3,date_order_valid,pass,2024-02-28 -> 2024-05-28
nbim_positive_industry_weight_change,2024-02-28,Technology,6,date_order_valid,pass,2024-02-28 -> 2024-08-28
cross_fund_consensus_lost,2024-05-16,Consumer Discretionary,1,date_order_valid,pass,2024-05-16 -> 2024-06-17
cross_fund_consensus_lost,2024-05-16,Consumer Discretionary,3,date_order_valid,pass,2024-05-16 -> 2024-08-16
cross_fund_consensus_lost,2024-05-16,Consumer Discretionary,6,date_order_valid,pass,2024-05-16 -> 2024-11-18
cross_fund_consensus_lost,2024-05-16,Technology,1,date_order_valid,pass,2024-05-16 -> 2024-06-17
cross_fund_consensus_lost,2024-05-16,Technology,3,date_order_valid,pass,2024-05-16 -> 2024-08-16
cross_fund_consensus_lost,2024-05-16,Technology,6,date_order_valid,pass,2024-05-16 -> 2024-11-18
pif_contracting,2024-05-16,,1,date_order_valid,pass,2024-05-16 -> 2024-06-17
pif_contracting,2024-05-16,,3,date_order_valid,pass,2024-05-16 -> 2024-08-16
pif_contracting,2024-05-16,,6,date_order_valid,pass,2024-05-16 -> 2024-11-18
nbim_overweight_tech,2024-08-15,Technology,1,date_order_valid,pass,2024-08-15 -> 2024-09-16
nbim_overweight_tech,2024-08-15,Technology,3,date_order_valid,pass,2024-08-15 -> 2024-11-15
nbim_overweight_tech,2024-08-15,Technology,6,date_order_valid,pass,2024-08-15 -> 2025-02-18
nbim_positive_industry_weight_change,2024-08-15,Technology,1,date_order_valid,pass,2024-08-15 -> 2024-09-16
nbim_positive_industry_weight_change,2024-08-15,Technology,3,date_order_valid,pass,2024-08-15 -> 2024-11-15
nbim_positive_industry_weight_change,2024-08-15,Technology,6,date_order_valid,pass,2024-08-15 -> 2025-02-18
cross_fund_consensus_gained,2024-11-15,Consumer Discretionary,1,date_order_valid,pass,2024-11-15 -> 2024-12-16
cross_fund_consensus_gained,2024-11-15,Consumer Discretionary,3,date_order_valid,pass,2024-11-15 -> 2025-02-18
cross_fund_consensus_gained,2024-11-15,Consumer Discretionary,6,date_order_valid,pass,2024-11-15 -> 2025-05-15
