period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Materials,0.00811029,1.00000000,0.99188971,1,1,0,0,2
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Technology,0.24752509,0.00000000,-0.24752509,0,2,0,0,1
2021-06-30->2021-09-30,2021-06-30,2021-09-30,2022-10-11,2022-10-12,Utilities,0.13086450,0.00000000,-0.13086450,0,1,0,0,1
2021-09-30->2021-12-31,2021-09-30,2021-12-31,2022-10-11,2022-10-12,Materials,1.00000000,1.00000000,0.00000000,0,0,0,0,1
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Communication Services,0.00000000,0.18820941,0.18820941,6,0,0,0,3
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Consumer Discretionary,0.00000000,0.61903275,0.61903275,9,0,0,0,3
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Consumer Staples,0.00000000,0.00268232,0.00268232,1,0,0,0,1
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Financials,0.00000000,0.01131577,0.01131577,3,0,0,0,2
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Health Care,0.00000000,0.00997221,0.00997221,3,0,0,0,3
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Industrials,0.00000000,0.02180686,0.02180686,5,0,0,0,3
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Materials,1.00000000,0.01914956,-0.98085044,3,0,0,0,3
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Real Estate,0.00000000,0.00299869,0.00299869,1,0,0,0,1
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Technology,0.00000000,0.06884893,0.06884893,3,0,0,0,1
2021-12-31->2022-03-31,2021-12-31,2022-03-31,2022-12-22,2022-12-23,Utilities,0.00000000,0.05598349,0.05598349,1,0,0,0,1
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Communication Services,0.18820941,0.20294967,0.01474026,1,0,2,0,3
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Consumer Discretionary,0.61903275,0.48449769,-0.13453506,4,1,0,0,5
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Consumer Staples,0.00268232,0.01441960,0.01173728,1,0,0,0,1
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Financials,0.01131577,0.04059296,0.02927719,2,0,1,1,4
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Health Care,0.00997221,0.00893565,-0.00103656,0,0,0,0,3
2022-03-31->2022-06-30,2022-03-31,2022-06-30,2022-12-22,2022-12-23,Industrials,0.02180686,0.01903769,-0.00276917,0,0,0,0,3
