as_of_date,public_date,trade_date,common_sector,holding_count,mapped_holding_count,raw_sector_count,total_market_value_usd,portfolio_weight_after
2023-03-31,2023-05-15,2023-05-16,Technology,9,9,3,5337140743.000000,0.15027476
2023-03-31,2023-05-15,2023-05-16,Utilities,2,2,2,2723702204.000000,0.07668970
2023-06-30,2023-08-14,2023-08-15,Communication Services,7,7,3,10794785771.000000,0.27730626
2023-06-30,2023-08-14,2023-08-15,Consumer Discretionary,11,11,5,12985694880.000000,0.33358831
2023-06-30,2023-08-14,2023-08-15,Consumer Staples,2,2,1,682281239.000000,0.01752706
2023-06-30,2023-08-14,2023-08-15,Financials,4,4,3,1799747244.000000,0.04623354
2023-06-30,2023-08-14,2023-08-15,Health Care,2,2,2,164780736.000000,0.00423303
2023-06-30,2023-08-14,2023-08-15,Industrials,5,5,3,827952709.000000,0.02126919
2023-06-30,2023-08-14,2023-08-15,Materials,5,5,4,1976454549.000000,0.05077295
2023-06-30,2023-08-14,2023-08-15,Real Estate,2,2,2,467037636.000000,0.01199769
2023-06-30,2023-08-14,2023-08-15,Technology,9,9,3,6597430527.000000,0.16948079
2023-06-30,2023-08-14,2023-08-15,Utilities,2,2,2,2631142719.000000,0.06759118
2023-09-30,2023-11-14,2023-11-15,Communication Services,7,7,3,10850272377.000000,0.29747052
2023-09-30,2023-11-14,2023-11-15,Consumer Discretionary,12,12,6,11039867588.000000,0.30266845
2023-09-30,2023-11-14,2023-11-15,Consumer Staples,2,2,1,712006580.000000,0.01952034
2023-09-30,2023-11-14,2023-11-15,Financials,4,4,3,1695880214.000000,0.04649417
2023-09-30,2023-11-14,2023-11-15,Health Care,2,2,2,149843230.000000,0.00410809
2023-09-30,2023-11-14,2023-11-15,Industrials,5,5,3,684774462.000000,0.01877374
2023-09-30,2023-11-14,2023-11-15,Materials,5,5,4,1891327510.000000,0.05185254
2023-09-30,2023-11-14,2023-11-15,Real Estate,2,2,2,440817650.000000,0.01208543
2023-09-30,2023-11-14,2023-11-15,Technology,9,9,3,6701611449.000000,0.18373103
2023-09-30,2023-11-14,2023-11-15,Utilities,2,2,2,2308717630.000000,0.06329569
2023-12-31,2024-02-14,2024-02-15,Communication Services,6,6,3,8336876110.000000,0.23657318
2023-12-31,2024-02-14,2024-02-15,Consumer Discretionary,12,12,6,9748314904.000000,0.27662518
2023-12-31,2024-02-14,2024-02-15,Consumer Staples,2,2,1,808803949.000000,0.02295120
2023-12-31,2024-02-14,2024-02-15,Financials,4,4,3,1966160716.000000,0.05579319
2023-12-31,2024-02-14,2024-02-15,Health Care,2,2,2,137716879.000000,0.00390795
2023-12-31,2024-02-14,2024-02-15,Industrials,4,4,3,633155193.000000,0.01796686
2023-12-31,2024-02-14,2024-02-15,Materials,5,5,4,1990538775.000000,0.05648496
2023-12-31,2024-02-14,2024-02-15,Real Estate,2,2,2,562516868.000000,0.01596238
2023-12-31,2024-02-14,2024-02-15,Technology,9,9,3,8580246442.000000,0.24347922
2023-12-31,2024-02-14,2024-02-15,Utilities,2,2,2,2475827861.000000,0.07025586
2024-03-31,2024-05-15,2024-05-16,Communication Services,4,4,2,5537370815.000000,0.30778167
2024-03-31,2024-05-15,2024-05-16,Consumer Discretionary,5,5,3,4320366898.000000,0.24013739
2024-03-31,2024-05-15,2024-05-16,Consumer Staples,1,1,1,114655800.000000,0.00637287
2024-03-31,2024-05-15,2024-05-16,Financials,3,3,2,385497644.000000,0.02142698
2024-03-31,2024-05-15,2024-05-16,Health Care,2,2,2,96996270.000000,0.00539131
2024-03-31,2024-05-15,2024-05-16,Industrials,4,4,3,769897858.000000,0.04279295
2024-03-31,2024-05-15,2024-05-16,Materials,3,3,2,911687877.000000,0.05067401
2024-03-31,2024-05-15,2024-05-16,Real Estate,1,1,1,150301487.000000,0.00835415
2024-03-31,2024-05-15,2024-05-16,Technology,2,2,1,5704455752.000000,0.31706868
2024-06-30,2024-09-30,2024-10-01,Consumer Discretionary,1,1,1,65929363.000000,1.00000000
2024-09-30,2024-11-14,2024-11-15,Communication Services,4,4,2,5915690358.000000,0.30403126
2024-09-30,2024-11-14,2024-11-15,Consumer Discretionary,6,6,3,5431876839.000000,0.27916613
2024-09-30,2024-11-14,2024-11-15,Consumer Staples,1,1,1,153871628.000000,0.00790809
2024-09-30,2024-11-14,2024-11-15,Financials,3,3,2,409768236.000000,0.02105965
2024-09-30,2024-11-14,2024-11-15,Health Care,2,2,2,89351726.000000,0.00459214
2024-09-30,2024-11-14,2024-11-15,Industrials,4,4,3,714107020.000000,0.03670085
2024-09-30,2024-11-14,2024-11-15,Materials,3,3,2,972001182.000000,0.04995507
2024-09-30,2024-11-14,2024-11-15,Real Estate,1,1,1,195969512.000000,0.01007167
2024-09-30,2024-11-14,2024-11-15,Technology,2,2,1,5574870062.000000,0.28651513
2024-12-31,2025-02-14,2025-02-18,Communication Services,4,4,2,6324333355.000000,0.32861521
2024-12-31,2025-02-14,2025-02-18,Consumer Discretionary,7,7,3,6043665315.000000,0.31403156
2024-12-31,2025-02-14,2025-02-18,Financials,3,3,2,433624013.000000,0.02253130
2024-12-31,2025-02-14,2025-02-18,Health Care,2,2,2,84395328.000000,0.00438522
2024-12-31,2025-02-14,2025-02-18,Industrials,4,4,3,795543313.000000,0.04133679
2024-12-31,2025-02-14,2025-02-18,Materials,3,3,2,873159834.000000,0.04536977
2024-12-31,2025-02-14,2025-02-18,Real Estate,1,1,1,164032131.000000,0.00852318
2024-12-31,2025-02-14,2025-02-18,Technology,2,2,1,4526653933.000000,0.23520697
2025-03-31,2025-05-15,2025-05-16,Communication Services,4,4,2,6463902366.000000,0.33170065
2025-03-31,2025-05-15,2025-05-16,Consumer Discretionary,7,7,3,5230569494.000000,0.26841112
2025-03-31,2025-05-15,2025-05-16,Financials,3,3,2,420615418.000000,0.02158424
2025-03-31,2025-05-15,2025-05-16,Health Care,2,2,2,122885153.000000,0.00630596
2025-03-31,2025-05-15,2025-05-16,Industrials,3,3,3,709947996.000000,0.03643159
2025-03-31,2025-05-15,2025-05-16,Materials,3,3,2,939241311.000000,0.04819797
2025-03-31,2025-05-15,2025-05-16,Real Estate,1,1,1,173482988.000000,0.00890243
2025-03-31,2025-05-15,2025-05-16,Technology,2,2,1,5426511817.000000,0.27846607
2025-06-30,2025-08-14,2025-08-15,Communication Services,3,3,2,6741412091.000000,0.37204324
2025-06-30,2025-08-14,2025-08-15,Consumer Discretionary,2,2,2,3753550870.000000,0.20714995
2025-06-30,2025-08-14,2025-08-15,Health Care,2,2,2,112815549.000000,0.00622603
2025-06-30,2025-08-14,2025-08-15,Industrials,2,2,2,394892458.000000,0.02179322
2025-06-30,2025-08-14,2025-08-15,Materials,3,3,2,321015044.000000,0.01771610
2025-06-30,2025-08-14,2025-08-15,Real Estate,1,1,1,260803.000000,0.00001439
2025-06-30,2025-08-14,2025-08-15,Technology,1,1,1,6796022475.000000,0.37505706
2025-09-30,2025-11-14,2025-11-17,Communication Services,2,2,1,7952856609.000000,0.41057603
2025-09-30,2025-11-14,2025-11-17,Consumer Discretionary,1,1,1,4212944146.000000,0.21749844
2025-09-30,2025-11-14,2025-11-17,Health Care,1,1,1,68008750.000000,0.00351104
2025-09-30,2025-11-14,2025-11-17,Technology,1,1,1,7136187802.000000,0.36841450
2025-12-31,2026-02-17,2026-02-18,Communication Services,1,1,1,5069004746.000000,0.39150730
2025-12-31,2026-02-17,2026-02-18,Consumer Discretionary,1,1,1,1871829324.000000,0.14457174
2025-12-31,2026-02-17,2026-02-18,Health Care,1,1,1,54773438.000000,0.00423046
2025-12-31,2026-02-17,2026-02-18,Technology,1,1,1,5951800605.000000,0.45969051
2026-03-31,2026-05-15,2026-05-18,Communication Services,1,1,1,5057593097.000000,0.42126930
2026-03-31,2026-05-15,2026-05-18,Consumer Discretionary,1,1,1,1687656903.000000,0.14057241
2026-03-31,2026-05-15,2026-05-18,Health Care,1,1,1,20935625.000000,0.00174382
2026-03-31,2026-05-15,2026-05-18,Technology,1,1,1,5239420114.000000,0.43641447
