security_key,issuer_name,cusip,title_of_class,baseline_price_eligible_flag,query_name,candidate_symbol,candidate_instrument_name,candidate_exchange,candidate_mic_code,candidate_country,candidate_type,candidate_currency,candidate_score,candidate_rank
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOGL34,Alphabet Inc.,Bovespa,BVMF,Brazil,Depositary Receipt,BRL,10,4
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,ABEA,Alphabet Inc.,XETR,XETR,Germany,Common Stock,EUR,10,5
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOG,Alphabet Inc.,TSX,XTSE,Canada,Depositary Receipt,CAD,9,6
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOG,Alphabet Inc.,BMV,XMEX,Mexico,Common Stock,MXN,9,7
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOG,Alphabet Inc.,NEO,NEOE,Canada,Depositary Receipt,CAD,9,8
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,GOOG.USD,Alphabet Inc.,SIX,XSWX,Switzerland,Common Stock,CHF,9,9
02079K305|CAP STK CL A||SH|ALPHABET INC,ALPHABET INC,02079K305,CAP STK CL A,1,ALPHABET,3LGP,GraniteShares 3x Long Alphabet,LSE,XLON,United Kingdom,ETF,GBp,5,10
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZN,"Amazon.com, Inc.",NASDAQ,XNGS,United States,Common Stock,USD,17,1
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZN,"Amazon.com, Inc.",BVC,XBOG,Colombia,Common Stock,COP,11,2
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZN,"Amazon.com, Inc.",BMV,XMEX,Mexico,Common Stock,MXN,11,3
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZ,"Amazon.com, Inc.",XETR,XETR,Germany,Common Stock,EUR,11,4
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZNCL,"Amazon.com, Inc.",BVS,XSGO,Chile,Common Stock,CLP,11,5
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,1AMZN,"Amazon.com, Inc.",MTA,XMIL,Italy,Common Stock,EUR,11,6
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZO34,Amazon.com Inc.,Bovespa,BVMF,Brazil,Depositary Receipt,BRL,10,7
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMETNC,"Amazon.com, Inc.",JSE,XJSE,South Africa,ETF,ZAc,10,8
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMZN,Amazon.com Inc.,NEO,NEOE,Canada,Depositary Receipt,CAD,10,9
023135106|COM||SH|AMAZON COM INC,AMAZON COM INC,023135106,COM,1,AMAZON,AMETNQ,Quanto ETN on Amazon Inc.,JSE,XJSE,South Africa,ETF,ZAc,2,10
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,AMT,American Tower Corporation,NYSE,XNYS,United States,REIT,USD,16,1
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,AMT,American Tower Corporation,BMV,XMEX,Mexico,REIT,MXN,10,2
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,0HEU,American Tower Corporation,LSE,XLON,United Kingdom,REIT,USD,10,3
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,A0T,American Tower Corporation,XBER,XBER,Germany,REIT,EUR,10,4
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,A0T,American Tower Corporation,FSX,XFRA,Germany,REIT,EUR,10,5
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,T1OW34,American Tower Corporation,Bovespa,BVMF,Brazil,Depositary Receipt,BRL,10,6
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,1AMT,American Tower Corporation,MTA,XMIL,Italy,REIT,EUR,10,7
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,A0T,American Tower Corporation,XSTU,XSTU,Germany,REIT,EUR,10,8
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,A0T,American Tower Corporation,Munich,XMUN,Germany,REIT,EUR,10,9
03027X100|COM||SH|AMERICAN TOWER CORP NEW,AMERICAN TOWER CORP NEW,03027X100,COM,1,AMERICAN TOWER,A0T,American Tower Corporation,XDUS,XDUS,Germany,REIT,EUR,10,10
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,Automatic Data Processing Inc.,NASDAQ,XNGS,United States,Common Stock,USD,9,1
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,"Automatic Data Processing, Inc.",Euronext,XPAR,France,Common Stock,EUR,3,2
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADPCL,Automatic Data Processing Inc.,BVS,XSGO,Chile,Common Stock,CLP,3,3
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,0HJI,Automatic Data Processing Inc.,LSE,XLON,United Kingdom,Common Stock,USD,3,4
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADAP,Automatic Data Processing Inc.,BMV,XMEX,Mexico,Common Stock,MXN,3,5
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,Automatic Data Processing Inc.,XETR,XETR,Germany,Common Stock,EUR,3,6
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,1ADP,Automatic Data Processing Inc.,MTA,XMIL,Italy,Common Stock,EUR,3,7
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,Automatic Data Processing Inc.,FSX,XFRA,Germany,Common Stock,EUR,3,8
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,"Automatic Data Processing, Inc.",BVS,XSGO,Chile,Common Stock,USD,3,9
053015103|COM||SH|AUTOMATIC DATA PROCESSING IN,AUTOMATIC DATA PROCESSING IN,053015103,COM,1,AUTOMATIC DATA,ADP,Automatic Data Processing Inc.,BCBA,XBUE,Argentina,Depositary Receipt,ARS,2,10
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AVY,Avery Dennison Corporation,NYSE,XNYS,United States,Common Stock,USD,17,1
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,0HJR,Avery Dennison Corporation,LSE,XLON,United Kingdom,Common Stock,USD,11,2
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AV3,Avery Dennison Corporation,FSX,XFRA,Germany,Common Stock,EUR,11,3
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,1AVY,Avery Dennison Corporation,MTA,XMIL,Italy,Common Stock,EUR,11,4
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AV3,Avery Dennison Corporation,Munich,XMUN,Germany,Common Stock,EUR,11,5
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AV3,Avery Dennison Corporation,XSTU,XSTU,Germany,Common Stock,EUR,11,6
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AV3,Avery Dennison Corporation,XDUS,XDUS,Germany,Common Stock,EUR,11,7
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AVY,Avery Dennison Corporation,BMV,XMEX,Mexico,Common Stock,MXN,11,8
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,A1VY34,Avery Dennison Corporation,Bovespa,BVMF,Brazil,Depositary Receipt,BRL,10,9
053611109|COM||SH|AVERY DENNISON CORP,AVERY DENNISON CORP,053611109,COM,1,AVERY DENNISON,AVY,Avery Dennison Corporation Depositary Receipt,BCBA,XBUE,Argentina,Depositary Receipt,ARS,7,10
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BP,BP p.l.c. Sponsored ADR,NYSE,XNYS,United States,American Depositary Receipt,USD,13,1
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BP,BP p.l.c.,LSE,XLON,United Kingdom,Common Stock,GBp,7,2
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BP,BP p.l.c. CEDEAR,BCBA,XBUE,Argentina,Depositary Receipt,ARS,7,3
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPOB8,BPOB8,BCBA,XBUE,Argentina,Common Stock,ARS,7,4
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPOA8,BPOA8,BCBA,XBUE,Argentina,Common Stock,ARS,7,5
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPCL,Bharat Petroleum Corporation Limited,NSE,XNSE,India,Common Stock,INR,2,6
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPCC,Boubyan Petrochemicals Co.,XKUW,XKUW,Kuwait,Common Stock,KWD,2,7
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPA11,Banco BTG Pactual S.A.,BCBA,XBUE,Argentina,Depositary Receipt,ARS,2,8
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPI,Bank of the Philippine Islands,PSE,XPHS,Philippines,Common Stock,PHP,2,9
055622104|SPONSORED ADR||SH|BP PLC,BP PLC,055622104,SPONSORED ADR,1,BP,BPAC11,Banco BTG Pactual S.A.,Bovespa,BVMF,Brazil,Unit,BRL,0,10
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,BLDP,BALLARD POWER SYSTEMS INC Common Stock,NASDAQ,XNMS,United States,Common Stock,USD,9,1
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,BLDP,BALLARD POWER SYSTEMS INC Common Stock,TSX,XTSE,Canada,Common Stock,CAD,3,2
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,BLDP,BALLARD POWER SYSTEMS INC Common Stock,NEO,NEOE,Canada,Common Stock,CAD,3,3
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,PO0,BALLARD POWER SYSTEMS INC Common Stock,FSX,XFRA,Germany,Common Stock,EUR,3,4
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,PO0,BALLARD POWER SYSTEMS INC Common Stock,XSTU,XSTU,Germany,Common Stock,EUR,3,5
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,PO0,BALLARD POWER SYSTEMS INC Common Stock,Munich,XMUN,Germany,Common Stock,EUR,3,6
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,PO0,BALLARD POWER SYSTEMS INC Common Stock,XDUS,XDUS,Germany,Common Stock,EUR,3,7
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,PO0,BALLARD POWER SYSTEMS INC Common Stock,XHAN,XHAN,Germany,Common Stock,EUR,3,8
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,0QY5,BALLARD POWER SYSTEMS INC Common Stock,LSE,XLON,United Kingdom,Common Stock,CAD,3,9
058586108|COM||SH|BALLARD PWR SYS INC NEW,BALLARD PWR SYS INC NEW,058586108,COM,1,BALLARD,BLDP,BALLARD POWER SYSTEMS INC Common Stock,SIX,XSWX,Switzerland,Common Stock,CHF,3,10
060505104|COM||SH|BK OF AMERICA CORP,BK OF AMERICA CORP,060505104,COM,1,BK OF AMERICA,BA.CD,BK OF AMERICA CORP,BCBA,XBUE,Argentina,Common Stock,USD,10,1
07725L102|SPONSORED ADR||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADR,1,BEIGENE,BEIGF,BeiGene Ltd.,OTC,PINX,United States,Common Stock,USD,13,1
07725L102|SPONSORED ADR||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADR,1,BEIGENE,688235,Beigene Ltd.,SSE,XSHG,China,Common Stock,CNY,10,2
07725L102|SPONSORED ADR||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADR,1,BEIGENE,6160,BeiGene Ltd.,HKEX,XHKG,Hong Kong,Common Stock,HKD,10,3
07725L102|SPONSORED ADR||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADR,1,BEIGENE,B1ME34,BeiGene Ltd. ADR,Bovespa,BVMF,Brazil,Depositary Receipt,BRL,7,4
07725L102|SPONSORED ADS||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADS,1,BEIGENE,BEIGF,BeiGene Ltd.,OTC,PINX,United States,Common Stock,USD,13,1
07725L102|SPONSORED ADS||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADS,1,BEIGENE,688235,Beigene Ltd.,SSE,XSHG,China,Common Stock,CNY,10,2
07725L102|SPONSORED ADS||SH|BEIGENE LTD,BEIGENE LTD,07725L102,SPONSORED ADS,1,BEIGENE,6160,BeiGene Ltd.,HKEX,XHKG,Hong Kong,Common Stock,HKD,10,3
