as_of_date,public_date,trade_date,report_type,common_sector,holding_count,raw_industry_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2020-12-31,2021-02-25,2021-02-26,annual,Financials,1894,1,188866407802.000000,0.20283300,1.20960900,1.19153600
2020-12-31,2021-02-25,2021-02-26,annual,Health Care,856,1,108350088040.000000,0.11636300,1.04477800,1.01816600
2020-12-31,2021-02-25,2021-02-26,annual,Industrials,1915,1,128096810337.000000,0.13757000,1.24697100,1.21863200
2020-12-31,2021-02-25,2021-02-26,annual,Materials,634,1,41287842558.000000,0.04434100,1.15921100,1.14312300
2020-12-31,2021-02-25,2021-02-26,annual,Technology,909,1,172097205496.000000,0.18482400,1.10261800,1.07053900
2020-12-31,2021-02-25,2021-02-26,annual,Utilities,245,1,24560320124.000000,0.02637700,0.87604100,0.84534700
2021-12-31,2022-03-03,2022-03-04,annual,Communication Services,260,1,31964601037.000000,0.03167900,0.92476900,0.89626900
2021-12-31,2022-03-03,2022-03-04,annual,Consumer Discretionary,1636,1,146556780800.000000,0.14524700,0.90388100,0.87450500
2021-12-31,2022-03-03,2022-03-04,annual,Consumer Staples,595,1,60319642918.000000,0.05978000,0.87934500,0.84747900
2021-12-31,2022-03-03,2022-03-04,annual,Energy,208,1,37600287781.000000,0.03726400,0.90980800,0.90774000
2021-12-31,2022-03-03,2022-03-04,annual,Financials,1166,1,144645065977.000000,0.14335200,0.96288200,0.94345600
2021-12-31,2022-03-03,2022-03-04,annual,Health Care,943,1,114876671451.000000,0.11385000,0.88319200,0.85818700
2021-12-31,2022-03-03,2022-03-04,annual,Industrials,1766,1,134944417650.000000,0.13373800,1.04019300,1.01207200
2021-12-31,2022-03-03,2022-03-04,annual,Materials,679,1,44241127365.000000,0.04384600,0.97299000,0.95518400
2021-12-31,2022-03-03,2022-03-04,annual,Real Estate,693,1,63346276513.000000,0.06278000,1.27997100,1.27216500
2021-12-31,2022-03-03,2022-03-04,annual,Technology,1107,1,206677255125.000000,0.20482900,0.94879900,0.92489600
2021-12-31,2022-03-03,2022-03-04,annual,Utilities,285,1,23848930036.000000,0.02363600,0.77593000,0.75649100
2022-12-31,2023-03-07,2023-03-08,annual,Communication Services,246,1,26895798678.000000,0.03088100,1.00552800,0.97199200
2022-12-31,2023-03-07,2023-03-08,annual,Consumer Discretionary,1625,1,116715157674.000000,0.13400700,0.97012300,0.93690500
2022-12-31,2023-03-07,2023-03-08,annual,Consumer Staples,586,1,57719475959.000000,0.06627100,0.92730400,0.89319100
2022-12-31,2023-03-07,2023-03-08,annual,Energy,213,1,38348863416.000000,0.04403100,0.90169000,0.89145500
2022-12-31,2023-03-07,2023-03-08,annual,Financials,1110,1,138991212672.000000,0.15958400,1.02389200,0.99991900
2022-12-31,2023-03-07,2023-03-08,annual,Health Care,898,1,112027042947.000000,0.12862500,1.01105800,0.98272800
2022-12-31,2023-03-07,2023-03-08,annual,Industrials,1746,1,115736652143.000000,0.13288400,1.11254900,1.08124900
2022-12-31,2023-03-07,2023-03-08,annual,Materials,722,1,38661340278.000000,0.04438900,1.02005500,0.99883700
2022-12-31,2023-03-07,2023-03-08,annual,Real Estate,682,1,48473562724.000000,0.05565500,1.33074800,1.32077700
2022-12-31,2023-03-07,2023-03-08,annual,Technology,1121,1,153829640783.000000,0.17662100,1.04944700,1.02127600
2022-12-31,2023-03-07,2023-03-08,annual,Utilities,279,1,23562523421.000000,0.02705300,0.86702500,0.85258100
2023-12-31,2024-02-27,2024-02-28,annual,Communication Services,227,1,36569993943.000000,0.03323100,1.01048500,0.99299600
2023-12-31,2024-02-27,2024-02-28,annual,Consumer Discretionary,1539,1,155271478926.000000,0.14109200,1.00159800,0.96461300
2023-12-31,2024-02-27,2024-02-28,annual,Consumer Staples,578,1,61463229438.000000,0.05585100,0.92077900,0.90328700
2023-12-31,2024-02-27,2024-02-28,annual,Energy,220,1,41058704248.000000,0.03730900,0.92650000,0.91713600
2023-12-31,2024-02-27,2024-02-28,annual,Financials,1074,1,164533681343.000000,0.14950900,1.06098700,1.03860300
2023-12-31,2024-02-27,2024-02-28,annual,Health Care,841,1,122350225814.000000,0.11117800,0.98914400,0.96161700
2023-12-31,2024-02-27,2024-02-28,annual,Industrials,1720,1,143901079208.000000,0.13076000,1.10948800,1.08289500
2023-12-31,2024-02-27,2024-02-28,annual,Materials,657,1,43909541709.000000,0.03990000,1.04614900,1.02127900
2023-12-31,2024-02-27,2024-02-28,annual,Real Estate,645,1,60504186632.000000,0.05497900,1.32110100,1.30869800
