instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-01-31,596.4800,642.9600,595.5500,600.3600,14.9314,119847800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-02-28,604.4900,631.1800,601.3500,613.4000,15.2557,83653600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-03-31,617.7800,619.2200,551.2801,586.7600,14.5932,120156600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-04-29,588.7600,595.1900,519.0000,544.1000,13.5322,140342000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-05-31,545.7000,545.7300,513.4000,529.0200,13.1571,90564200,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-06-30,528.0400,533.1999,473.0200,506.3800,12.5941,118130800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-07-29,506.7400,627.4992,506.3800,603.6900,15.0142,161948200,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-08-31,611.2200,615.5000,490.8600,540.9600,13.4541,213336700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-09-30,540.7500,558.5200,510.5000,515.0400,12.8094,117140800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-10-31,509.8500,602.7000,480.5960,592.6400,14.7394,154275400,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-11-30,580.1000,618.3000,561.3300,599.3900,14.9073,120479300,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2011-12-30,600.0000,646.7600,599.0000,645.9000,16.0640,109983800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-01-31,652.9400,670.2500,564.5500,580.1100,14.4278,147136900,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-02-29,584.9400,625.6000,579.1400,618.2500,15.3764,94633500,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-03-30,622.2600,658.5890,593.8400,641.2400,15.9481,94564700,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-04-30,640.7700,653.1400,590.2000,604.8500,15.0431,117636800,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-05-31,603.7900,637.8500,579.0000,580.8600,14.4464,117228000,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-06-29,571.7900,587.8900,556.5201,580.0700,14.4268,92914500,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-07-31,581.8200,642.6000,562.0900,632.9700,15.7425,102469600,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2012-08-31,637.3000,688.9900,623.4100,685.0900,17.0387,94031300,0.0000,
